Questions,Code,Decode,usage
Are you interested in other construction events? - Yes - MEC,MP167,The Big 5 (Dubai) | 21-24 November 2016,Demographic
Are you interested in other construction events? - Yes - MEC,MP151,FM Expo Saudi (Jeddah) |15 – 17 January 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP152,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP153,The Big 5 Saudi (Jeddah) | 27-30 March 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP168,Africa Renewable Energy Summit | 4 – 5 April 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP154,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017 ",Demographic
Are you interested in other construction events? - Yes - MEC,MP155,The Big 5 North Africa (Casablanca) | 25- 27 April 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP166,The Big 5 (Dubai) | 26-29 November 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP156,Middle East Covering (Dubai)| 22-25 May 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP157,Middle East Stone (Dubai) | 22-25 May 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP158,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP159,Elevators & Access Control (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP160,FM EXPO (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP161,Gulf Glass (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP162,Intersolar Middle East (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP163,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP164,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP165,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017",Demographic
Category,VIP,VIP,Demographic
Category,GVIP,Generic VIP,Demographic
Category,GVIS,Generic Visitor,Demographic
Category,GUEST,Guest,Demographic
Category,VIS,Visitor,Demographic
Category,DEL,Delegate,Demographic
Category,SPK,Speaker,Demographic
Category,MED,Media,Demographic
Category,EXH,Exhibitor,Demographic
Category,EXHONS,Exhibitor Onsite (paid),Demographic
Category,ORG,Organiser,Demographic
Category,STU,Student,Demographic
Category,NTRAD,Non Trade,Demographic
Category,XXX,Registration,Demographic
Category,PC,Platinum Club,Demographic
Countries you import to? - Big5,BF71A,UAE,Demographic
Countries you import to? - Big5,BF71B,KSA,Demographic
Countries you import to? - Big5,BF71C,Kuwait,Demographic
Countries you import to? - Big5,BF71D,Oman,Demographic
Countries you import to? - Big5,BF71E,Bahrain,Demographic
Countries you import to? - Big5,BF71F,Qatar,Demographic
Direct level of purchasing authority - Big5,BF91,"Up to $50,000",Demographic
Direct level of purchasing authority - Big5,BF92,"Up to $100,000",Demographic
Direct level of purchasing authority - Big5,BF93,"Up to $250,000",Demographic
Direct level of purchasing authority - Big5,BF94,"Up to $500,000",Demographic
Direct level of purchasing authority - Big5,BF95,"Up to $1,000,000",Demographic
Direct level of purchasing authority - Big5,BF96,"Up to $5,000,000",Demographic
Direct level of purchasing authority - Big5,BF97,"Up to $10,000,000",Demographic
Direct level of purchasing authority - Big5,BF98,Up to $25 million,Demographic
Direct level of purchasing authority - Big5,BF99,Up to $50 million,Demographic
Direct level of purchasing authority - Big5,BF100,Up to $100 million,Demographic
Direct level of purchasing authority - Big5,BF101,100 million +,Demographic
Direct level of purchasing authority - Big5,BF102,Don't Know,Demographic
Direct level of purchasing authority - Big5,BF103,Other,Demographic
Direct level of purchasing authority - Big5,BF104,None,Demographic
Direct level of purchasing authority - MEC,MP91,"Up to $50,000",Demographic
Direct level of purchasing authority - MEC,MP92,"Up to $100,000",Demographic
Direct level of purchasing authority - MEC,MP93,"Up to $250,000",Demographic
Direct level of purchasing authority - MEC,MP94,"Up to $500,000",Demographic
Direct level of purchasing authority - MEC,MP95,"Up to $1,000,000",Demographic
Direct level of purchasing authority - MEC,MP96,"Up to $5,000,000",Demographic
Direct level of purchasing authority - MEC,MP97,"Up to $10,000,000",Demographic
Direct level of purchasing authority - MEC,MP98,Up to $25 million,Demographic
Direct level of purchasing authority - MEC,MP99,Up to $50 million,Demographic
Direct level of purchasing authority - MEC,MP100,Up to $100 million,Demographic
Direct level of purchasing authority - MEC,MP101,100 million +,Demographic
Direct level of purchasing authority - MEC,MP102,Don't Know,Demographic
Direct level of purchasing authority - MEC,MP103,Other,Demographic
Direct level of purchasing authority - MEC,MP104,None,Demographic
Distributor Networking : From which product sectors are you looking to export products,D07,Smart building & design technologies,Demographic
Distributor Networking : From which product sectors are you looking to export products,D08,Construction tools & building materials,Demographic
Distributor Networking : From which product sectors are you looking to export products,D09,Building envelope & special construction,Demographic
Distributor Networking : From which product sectors are you looking to export products,D10,Building interiors & finishes,Demographic
Distributor Networking : From which product sectors are you looking to export products,D11,MEP services,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D12,Smart building & design technologies,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D13,Construction tools & building materials ,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D14,Building envelope & special construction,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D15,Building interiors & finishes ,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D16,MEP services ,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D01,Saudi Arabia,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D02,Oman,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D03,Bahrain,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D04,UAE,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D05,Kuwait,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D06,Qatar,Demographic
Distributor Networking : Sessions,DS1A,Session 1 – 23 Nov (11am – 1:30pm) : Saudi Arabia,Demographic
Distributor Networking : Sessions,DS1B,Session 1 – 23 Nov (11am – 1:30pm) : Oman,Demographic
Distributor Networking : Sessions,DS1C,Session 1 – 23 Nov (11am – 1:30pm) : Bahrain,Demographic
Distributor Networking : Sessions,DS2A,Session 2 – 23 Nov (4pm – 6:30pm) : UAE,Demographic
Distributor Networking : Sessions,DS2B,Session 2 – 23 Nov (4pm – 6:30pm) : Kuwait,Demographic
Distributor Networking : Sessions,DS2C,Session 2 – 23 Nov (4pm – 6:30pm) : Qatar,Demographic
GAIA Awards Products,GAP1,Prometal Metal Industries: ABLOY EL560L Low Energy Lock ,Demographic
GAIA Awards Products,GAP2,Synergy United Co : DIASEN SRL: Diathonite Evolution  ,Demographic
GAIA Awards Products,GAP3,EcoPower Hybrid Hurricane Ventilator,Demographic
GAIA Awards Products,GAP4,Yesos Ibéricos SA : Gypsum board,Demographic
GAIA Awards Products,GAP5,Cobiax Middle East : Cobiax Slab System,Demographic
GAIA Awards Products,GAP6,INOTEC GmbH : OWC - One-Way-Container ,Demographic
GAIA Awards Products,GAP7,Onyx Solar Energy SL : Photovoltaic Glass for Buildings,Demographic
GAIA Awards Products,GAP8,SAGEGLASS : SageGlass,Demographic
GAIA Awards Products,GAP9,Solidian : Solidian GRID,Demographic
GAIA Awards Products,GAP10,JUMBO ENGINEERING LLC : TORO Dual Path – Dedicated Outdoor Air System,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS01,Day 1 - How to manage BIM for Concrete Construction                   ,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS02,Day 1 - Achieving increased concrete durability and serviceability by the use of improved construction materials and techniques,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS03,Day 1 -  Commercial vehicle lubricants in a low Sulphur diesel environment                         ,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS04,Day 1 - Can Performance-Based Specifications be implemented for Durability of Concrete? Will it work? (MEC),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS05,Day 1 - Enhancement of Reinforced Concrete Infrastructure Service Life in the GCC Countries,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS06,Day 2 - Construction and demolition waste recycling – Does it make a business case? ,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS07,Day 2 - Work at Height Safety   ,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS08,Day 2 - Middle East Concrete Market,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS09,Day 2 -  Robotics and Applications ,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS10,Day 2 - The Importance of Effective Construction Management in Today's Competitive Marketplace.,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS11,"Day 2 - Leaks, Tunneling and Deep Foundation Companies (PMV) ",Demographic
MEC Seminar - Let's Get Technical Seminar ,TS12,Day 3 - The Development of the GRC Industry – 40 years on,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS13,Day 3 - Equipment management & Maintenance,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS14,Day 3 - Non-destructive testing: Quality control & structural evaluation (MEC),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS15,Day 3 - Power of Coolants in the construction industry + Coolants DEMO (coolants v/s water v/s other low quality coolants) (PMV),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS16,Day 3 - Fleet Management (PMV),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS22,Day 3 - Advantages of using dry mix mortar (MEC),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS17,Day 4 - Influence of soil conditions on design of structures:  ,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS18,Day 4 - Green Building Materials (MEC),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS19,Day 4 - GRC – The Next Generation of Materials and Applications,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS20,Day 4 - Difference in lubricants formulated with Group 1 v/s Group 2 base oils and impact on your equipment's (PANEL) (PMV),Demographic
MEC Seminar - Let's Get Technical Seminar ,TS21,Day 4 - Rail Less Overhead Crane Technology (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA1,Day 1 - Fabric Reinforced Cementitious Matrix (FRCM) Composites for Infrastructure Strengthening (MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA2,Day 1 - Tips to Finance Machinery (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA3,Day 1 - How to continue to rebuild and prevent against natural disaster? (MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA4,Day 1 - How to buy and sell construction equipment like a pro? (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA5,Day 2 - Durability of Concrete Structures in Aggressive Conditions with FRC  MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA6,Day 2 - A Practical approach towards Behavior Based Safety through OHS Culture Maturity Development Tools (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA7,Day 2 - Advanced Materials and Techniques for Reinforced Concrete Structures – Fiber Reinforced Polymer (FRP) (PANEL) (MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA8,Day 2 - Evolution of the Tipper Body Weight for the Construction market worldwide (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA9,Day 3 - The role of telematics in the Middle East's Construction: Big Data and Big Machines (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA10,Day 3 - Concrete Repair (MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA11,Day 3 -  Arbitration and dispute resolutions in construction claims (MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA12,Day 3 - Efforts towards low emission targets: Clean construction Industry (PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA13,Day 4 - The heavy equipment health check (PMV)     ,Demographic
MEC Workshop - Building Block Workshop Theatre,TA14,Day 4 - Personal Protection Equipment (PPE) –health and safety(PMV),Demographic
MEC Workshop - Building Block Workshop Theatre,TA15,Day 4 - Demystifying the ‘fit for purpose’ obligations in EPC and Design & Build Contracts (MEC),Demographic
MEC Workshop - Building Block Workshop Theatre,TA16,Day 4 - Mobile Elevating Work Platform innovation & Development,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB1,Day 1 - Challenges and Opportunities in the Concrete Industry (MEC)    ,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB2,Day 1 - Recycled Concrete in Road Projects (MEC)   ,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB3,Day 1 -  Performance-Based Specifications: Case studies in the UAE (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB14,Day 1 - Understanding the application and dynamics of Green Concrete in Dubai (Panel) (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB4,Day 2 - Innovative design methods of concrete – (Intro to Decorative Concrete) (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB5,Day 2 - Coloring options for Decorative Concrete - From boring to beautiful - adding color to new or existing concrete (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB6,Day 2 - Troubleshooting Coating & Sealer Failures - Coating Preparation (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB7,Day 2 - Trends in Polished Concrete (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB8,Day 3 - Integrated reliability and durability based structural health monitoring in concrete structures: case study bridges (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB9,Day 3 - Precast innovations for sustainability and competitiveness (MEC)        ,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB10,Day 3 - Advance Dry Mortar Technology  (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB15,Day 3 -  Development of cement free polymer concrete for use in UAE  ,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB11,Day 4 - Concrete Sustainability - The Masdar Experience (MEC)                  ,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB12,Day 4 - Advances in hot weather concreting (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB13,Day 4 - Carbon Dioxide Utilization in Ready-mix Concrete Production (MEC),Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB16,"Day 4 - Polyurea, a miracle in coating industry (MEC)       ",Demographic
Nationality,AF,Afghan,Demographic
Nationality,AL,Albanian,Demographic
Nationality,DZ,Algerian,Demographic
Nationality,US,American,Demographic
Nationality,UM,American Islander,Demographic
Nationality,AS,American Samoan,Demographic
Nationality,AD,Andorran,Demographic
Nationality,AO,Angolan,Demographic
Nationality,AI,Anguillan,Demographic
Nationality,AG,Antiguan / Barbudan,Demographic
Nationality,AR,Argentinian,Demographic
Nationality,AM,Armenian,Demographic
Nationality,AW,Aruban,Demographic
Nationality,AU,Australian,Demographic
Nationality,AT,Austrian,Demographic
Nationality,AZ,Azerbaijani,Demographic
Nationality,BS,Bahamian,Demographic
Nationality,BH,Bahraini,Demographic
Nationality,BD,Bangladeshi,Demographic
Nationality,BB,Barbadian,Demographic
Nationality,BW,Botswana,Demographic
Nationality,BY,Belarusian,Demographic
Nationality,BE,Belgian,Demographic
Nationality,BZ,Belizean,Demographic
Nationality,BJ,Beninese,Demographic
Nationality,BM,Bermudian,Demographic
Nationality,BT,Bhutanese,Demographic
Nationality,GW,Bissau-Guinean,Demographic
Nationality,BO,Bolivian,Demographic
Nationality,BA,Bosnian / Herzegovinian,Demographic
Nationality,BR,Brazilian,Demographic
Nationality,GB,British,Demographic
Nationality,BN,Bruneian,Demographic
Nationality,BG,Bulgarian,Demographic
Nationality,BF,Burkinabe,Demographic
Nationality,MM,Burmese,Demographic
Nationality,BI,Burundian,Demographic
Nationality,KH,Cambodian,Demographic
Nationality,CM,Cameroonian,Demographic
Nationality,CA,Canadian,Demographic
Nationality,CV,Cape Verdean,Demographic
Nationality,KY,Caymanian,Demographic
Nationality,CF,Central African,Demographic
Nationality,TD,Chadian,Demographic
Nationality,GG,Channel Islander,Demographic
Nationality,JE,Channel Islander,Demographic
Nationality,CL,Chilean,Demographic
Nationality,CN,Chinese,Demographic
Nationality,CX,Christmas Islanders,Demographic
Nationality,CO,Colombian,Demographic
Nationality,KM,Comoran,Demographic
Nationality,CG,Congolese,Demographic
Nationality,CD,Congolese,Demographic
Nationality,CK,Cook Islander,Demographic
Nationality,CR,Costa Rican,Demographic
Nationality,HR,Croatian,Demographic
Nationality,CU,Cuban,Demographic
Nationality,CY,Cypriot,Demographic
Nationality,CZ,Czech,Demographic
Nationality,DK,Danish,Demographic
Nationality,DJ,Djiboutian,Demographic
Nationality,DM,Dominican,Demographic
Nationality,DO,Dominican,Demographic
Nationality,NL,Dutch,Demographic
Nationality,AN,Dutch Caribean,Demographic
Nationality,EC,Ecuadorian,Demographic
Nationality,EG,Egyptian,Demographic
Nationality,AE,Emirati,Demographic
Nationality,GQ,Equatoguinean / Equatorial Guinean,Demographic
Nationality,ER,Eritrean,Demographic
Nationality,EE,Estonian,Demographic
Nationality,ET,Ethiopian,Demographic
Nationality,FK,Falkland Islander,Demographic
Nationality,FO,Faroese,Demographic
Nationality,FJ,Fijian,Demographic
Nationality,FI,Finnish,Demographic
Nationality,FR,French,Demographic
Nationality,TF,French,Demographic
Nationality,MQ,French,Demographic
Nationality,RE,French,Demographic
Nationality,GF,French Guianese,Demographic
Nationality,GA,Gabonese,Demographic
Nationality,GM,Gambian,Demographic
Nationality,GE,Georgian,Demographic
Nationality,DE,German,Demographic
Nationality,GH,Ghanaian,Demographic
Nationality,GI,Gibraltar,Demographic
Nationality,GR,Greek,Demographic
Nationality,GL,Greenlandic,Demographic
Nationality,GD,Grenadian,Demographic
Nationality,GU,Guamanian,Demographic
Nationality,GT,Guatemalan,Demographic
Nationality,GN,Guinean,Demographic
Nationality,GY,Guyanese,Demographic
Nationality,HT,Haitian,Demographic
Nationality,HN,Honduran,Demographic
Nationality,HK,Hong Konger,Demographic
Nationality,HU,Hungarian,Demographic
Nationality,IS,Icelandic,Demographic
Nationality,KI,I-Kiribati,Demographic
Nationality,IN,Indian,Demographic
Nationality,ID,Indonesian,Demographic
Nationality,IR,Iranian,Demographic
Nationality,IQ,Iraqi,Demographic
Nationality,IE,Irish,Demographic
Nationality,IT,Italian,Demographic
Nationality,CI,Ivoirian,Demographic
Nationality,JM,Jamaican,Demographic
Nationality,JP,Japanese,Demographic
Nationality,JO,Jordanian,Demographic
Nationality,KZ,Kazakhstani,Demographic
Nationality,KE,Kenyan,Demographic
Nationality,KN,Kittitian / Nevisian,Demographic
Nationality,XK,Kosovar,Demographic
Nationality,KW,Kuwaiti,Demographic
Nationality,KG,Kyrgyzstani,Demographic
Nationality,LA,Laotian,Demographic
Nationality,LV,Latvian,Demographic
Nationality,LB,Lebanese,Demographic
Nationality,LR,Liberian,Demographic
Nationality,LY,Libyan,Demographic
Nationality,LI,Liechtenstein,Demographic
Nationality,LT,Lithuanian,Demographic
Nationality,LU,Luxembourg,Demographic
Nationality,MO,Macanese,Demographic
Nationality,MK,Macedonian,Demographic
Nationality,YT,Mahoran,Demographic
Nationality,MG,Malagasy,Demographic
Nationality,MW,Malawian,Demographic
Nationality,MY,Malaysian,Demographic
Nationality,MV,Maldivian,Demographic
Nationality,ML,Malian,Demographic
Nationality,MT,Maltese,Demographic
Nationality,IM,Manx,Demographic
Nationality,MH,Marshallese,Demographic
Nationality,MR,Mauritanian,Demographic
Nationality,MU,Mauritian,Demographic
Nationality,MX,Mexican,Demographic
Nationality,FM,Micronesian,Demographic
Nationality,MD,Moldovan,Demographic
Nationality,MC,Monacan,Demographic
Nationality,MN,Mongolian,Demographic
Nationality,ME,Montenegrin,Demographic
Nationality,MS,Montserratian,Demographic
Nationality,MA,Moroccan,Demographic
Nationality,LS,Mosotho,Demographic
Nationality,MZ,Mozambican,Demographic
Nationality,NA,Namibian,Demographic
Nationality,NR,Nauruan,Demographic
Nationality,NP,Nepali,Demographic
Nationality,NC,New Caledonian,Demographic
Nationality,NZ,New Zealand,Demographic
Nationality,NI,Nicaraguan,Demographic
Nationality,NG,Nigerian,Demographic
Nationality,NE,Nigerien,Demographic
Nationality,NU,Niuean,Demographic
Nationality,VU,Ni-Vanuatu,Demographic
Nationality,KP,North Korean,Demographic
Nationality,NO,Norwegian,Demographic
Nationality,OM,Omani,Demographic
Nationality,PK,Pakistani,Demographic
Nationality,PW,Palauan,Demographic
Nationality,PS,Palestinian,Demographic
Nationality,PA,Panamanian,Demographic
Nationality,PG,Papua New Guinean,Demographic
Nationality,PY,Paraguayan,Demographic
Nationality,PE,Peruvian,Demographic
Nationality,PH,Philippine / Filipino,Demographic
Nationality,PN,Pitcairn Islanders,Demographic
Nationality,PL,Polish,Demographic
Nationality,PT,Portuguese,Demographic
Nationality,PR,Puerto Rican,Demographic
Nationality,QA,Qatari,Demographic
Nationality,RO,Romanian,Demographic
Nationality,RU,Russian,Demographic
Nationality,RW,Rwandan,Demographic
Nationality,LC,Saint Lucian,Demographic
Nationality,PM,Saint-Pierrais / Miquelonnais,Demographic
