Category Text,Code,Question Text
"While visiting The Big 5, what products will you be mainly looking for?",BF01,MEP Services
"While visiting The Big 5, what products will you be mainly looking for?",BF06,Other
"While visiting The Big 5, what products will you be mainly looking for?",BF02,Building Interiors & Finishes
"While visiting The Big 5, what products will you be mainly looking for?",BF03,Building Envelope & Special Construction
"While visiting The Big 5, what products will you be mainly looking for?",BF04,Construction Tools & Building Materials
"While visiting The Big 5, what products will you be mainly looking for?",BF05,Smart Building & Design Technologies
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01A,"Heating, Ventilation & Air Conditioning
"
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01B,Plumbing & Water Technology
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01C,"Electrical Systems
"
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01D,Security & Fire Protection
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01E,Solar Energy
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02A,"Bathroom, Kitchen & Related Services"
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02B,"Flooring, Ceiling, Wall Finishes & Other Interior Finishes"
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02C,Lighting
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02D,"Sealants, Coatings & Adhesives"
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03A,"Windows, Doors & Sun Protection Systems"
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03B,"Roofing, Cladding & Glazing"
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03C,Special Construction
"While visiting The Big 5, what products will you be mainly looking for? - Construction Tools & Building Materials",BF04A,Construction Tools & Equipment
"While visiting The Big 5, what products will you be mainly looking for? - Construction Tools & Building Materials",BF04B,"Metal, Steel & Aluminium"
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05A,Software for Construction
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05B,Design Technologies
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05C,Building Automation
What is your nature of business? - Big5,BF201,Agent - distributor - supplier
What is your nature of business? - Big5,BF202,Architectural Firm
What is your nature of business? - Big5,BF204,Building Consultancy
What is your nature of business? - Big5,BF205,Cement Supplier
What is your nature of business? - Big5,BF206,Commercial Services
What is your nature of business? - Big5,BF208,Contractor
What is your nature of business? - Big5,BF209,Education & Training
What is your nature of business? - Big5,BF210,Engineering
What is your nature of business? - Big5,BF213,Façade Engineering
What is your nature of business? - Big5,BF214,Facilities Management
What is your nature of business? - Big5,BF218,Government/Municipality
What is your nature of business? - Big5,BF252,Interior Design Agency
What is your nature of business? - Big5,BF219,Interior Design Agency - Other
What is your nature of business? - Big5,BF223,IT & Software
What is your nature of business? - Big5,BF224,Landscaping
What is your nature of business? - Big5,BF227,Manufacturer
What is your nature of business? - Big5,BF236,MEP Contractor
What is your nature of business? - Big5,BF238,Property Developer
What is your nature of business? - Big5,BF241,Repair Contractor
What is your nature of business? - Big5,BF245,Sub-Contractor
What is your nature of business? - Big5,BF246,Surveying
What is your nature of business? - Big5,BF248,Trade Association
What is your nature of business? - Big5,BF249,Transport & Supply chain
What is your nature of business? - Big5,BF250,Waste & Recycling
What is your nature of business? - Big5,BF299,Others
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF71,Yes
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF72,No
Countries you import to? - Big5,BF71A,UAE
Countries you import to? - Big5,BF71B,KSA
Countries you import to? - Big5,BF71C,Kuwait
Countries you import to? - Big5,BF71D,Oman
Countries you import to? - Big5,BF71E,Bahrain
Countries you import to? - Big5,BF71F,Qatar
Are you a key buyer with direct purchasing authority for your company? - Big5,BF81,Yes
Are you a key buyer with direct purchasing authority for your company? - Big5,BF82,No
Direct level of purchasing authority - Big5,BF91,"Up to $50,000"
Direct level of purchasing authority - Big5,BF92,"Up to $100,000"
Direct level of purchasing authority - Big5,BF93,"Up to $250,000"
Direct level of purchasing authority - Big5,BF94,"Up to $500,000"
Direct level of purchasing authority - Big5,BF95,"Up to $1,000,000"
Direct level of purchasing authority - Big5,BF96,"Up to $5,000,000"
Direct level of purchasing authority - Big5,BF97,"Up to $10,000,000"
Direct level of purchasing authority - Big5,BF98,Up to $25 million
Direct level of purchasing authority - Big5,BF99,Up to $50 million
Direct level of purchasing authority - Big5,BF100,Up to $100 million
Direct level of purchasing authority - Big5,BF101,100 million +
Direct level of purchasing authority - Big5,BF102,Don't Know
Direct level of purchasing authority - Big5,BF103,Other
Direct level of purchasing authority - Big5,BF104,None
No of Employees - Big5,BF111,0-10
No of Employees - Big5,BF112,11-50
No of Employees - Big5,BF113,51-250
No of Employees - Big5,BF114,251+
No of Employees - (0-10) - Big5,BF111A,Local
No of Employees - (0-10) - Big5,BF111B,Regional
No of Employees - (0-10) - Big5,BF111C,International
No of Employees - (11-50) - Big5,BF112A,Local
No of Employees - (11-50) - Big5,BF112B,Regional
No of Employees - (11-50) - Big5,BF112C,International
No of Employees - (51-250) - Big5,BF113A,Local
No of Employees - (51-250) - Big5,BF113B,Regional
No of Employees - (51-250) - Big5,BF113C,International
No of Employees - (251+) - Big5,BF114A,Local
No of Employees - (251+) - Big5,BF114B,Regional
No of Employees - (251+) - Big5,BF114C,International
Are you interested in finding out more information about exhibiting? - Big5,BF131,Yes
Are you interested in finding out more information about exhibiting? - Big5,BF132,No
Are you interested in other construction events? - Big5,BF141,Yes
Are you interested in other construction events? - Big5,BF142,No
Are you interested in other construction events? - Yes -  Big5,BF151,FM Expo Saudi (Jeddah) | 15 – 17 January 2017
Are you interested in other construction events? - Yes -  Big5,BF167,The Big 5 Kuwait (Onsite Form)
Are you interested in other construction events? - Yes -  Big5,BF168,The Big 5 East Africa Kenya (Onsite Form)
Are you interested in other construction events? - Yes -  Big5,BF169,The Big 5 Indonesia (Onsite Form)
Are you interested in other construction events? - Yes -  Big5,BF170,The Big 5 India (Onsite Forms)
Are you interested in other construction events? - Yes -  Big5,BF174,None of the above (Onsite Form)
Are you interested in other construction events? - Yes -  Big5,BF152,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017
Are you interested in other construction events? - Yes -  Big5,BF153,The Big 5 Saudi (Jeddah) | 27 - 30 March 2017
Are you interested in other construction events? - Yes -  Big5,BF154,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017"
Are you interested in other construction events? - Yes -  Big5,BF155,The Big 5 North Africa (Casablanca) | 25 - 27 April 2017
Are you interested in other construction events? - Yes -  Big5,BF156,Middle East Covering (Dubai) | 22 - 25 May 2017
Are you interested in other construction events? - Yes -  Big5,BF157,Middle East Stone (Dubai) |  22 - 25 May 2017
Are you interested in other construction events? - Yes -  Big5,BF158,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF159,Elevators & Access Control (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF160,FM EXPO (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF161,Gulf Glass (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF162,Intersolar Middle East (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF163,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF164,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes -  Big5,BF165,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017"
Are you interested in other construction events? - Yes -  Big5,BF166,The Big 5 (Dubai) | 26 - 29 November 2017
Are you a manufacturer or distributor? - Big5 Short Form,BF171,Manufacturer
Are you a manufacturer or distributor? - Big5 Short Form,BF172,Distributor
Are you a manufacturer or distributor? - Big5 Short Form,BF173,Other
Subscribe to - Big 5 (Onsite Form) ,BF301,The Big 5 Hub industry weekly newsletter
Subscribe to - Big 5 (Onsite Form) ,BF302,The Big 5 Hub quarterly magazine
Other - Big5 (Onsite Form),BF642,Associations
Other - Big5 (Onsite Form),BF643,Education & Training
Other - Big5 (Onsite Form),BF644,Government
Other - Big5 (Onsite Form),BF645,Media
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A1,Day 1 - 12:00 - 13:00 BIM as information management and design process  
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A2,Day 1 - 14:00 - 15:00 -  How BIM is transforming the construction industry
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A3,"Day 1 - 16:00 - 17:00 BIM there, done that"
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B1,Day 2 - 12:00 - 13:00- BIM for coordination – from concept to construction
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B2,Day 2 - 14:00 - 15:00 - The BIM 4D modeling through the project life cycle
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B3,Day 2 - 16:00 - 17:00 - IoT-izing The Construction Industry - 1001 Real Life Case Studies from Around the Globe
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C1,Day 3 - 12:00 - 13:00 - BIM Case study of office with warehouse
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C2,Day 3 - 14:00 - 15:00 - Integrating Material and Textural Information for As-Built BIM Using IR Sensing
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C3,Day 3 - 16:00 - 17:00 - Bim4Analysis
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1D1,Day 4 - 12:00 - 13:00 - What’s wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1D2,Day 4 - 14:00 - 15:00 - How to get the best out of BIM intelligence in design process and taking it forward in construction
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1D3,Day 4 - 16:00 - 17:00 - BIM for construction 
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2A1,Day 1 - 12:00 - 13:00 - Architectural Advancement: Creating an Iconic Development
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2A2,Day 1 - 14:00 - 15:00 - Adaptive Architecture: convertible structures
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2A3,Day 1 - 16:00 - 17:00 - Improving façade performance through design
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2B1,"Day 2 - 12:00 - 13:00 - Transformation, Translation and Representation"
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2B2,Day 2 - 14:00 - 15:00 - Sustainability Beyond Design 
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2B3,"Day 2 - 16:00 - 17:00 - 
Smart Construction & Architecture"
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2C1,Day 3 - 12:00 - 13:00 - Efficient and sustainable cooling
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2C2,Day 3 - 14:00 - 15:00 - Significance of MEP - What’s next for District Cooling?
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2C3,Day 3 - 16:00 - 17:00 - Energy Efficient HVAC System's for Healthcare
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2D1,Day 4 - 12:00 - 13:00 - MEP in transport Infrastructure
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2D2,"Day 4 - 14:00 - 15:00 - MEP trade, challenges, trends and solutions"
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2D3,Day 4 - 16:00 - 17:00 - Comparative Analysis of Traditional Vs. Sustainable Chilled Water Plant Design
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3A1,Day 1 - 12:00 - 13:00 - Condition of assets a growing concern
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3A2,"Day 1 - 14:00 - 15:00 - 
Good practice during work at quarries"
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3A3,"Day 1 - 16:00 - 17:00 - 
Driving Culture change through Leadership"
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3B1,Day 2 -  12:00 - 13:00 - All you need to know about the new UAE Fire Code 
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3B2,Day 2 -  14:00 - 15:00 - Defining health and safety leadership behaviours
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3B3,Day 2 -  16:00 - 17:00 - Do complex innovative building envelopes comprise health and safety
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3C1,Day 3 - 12:00 - 13:00 - SCM Contribution to successful project management and analyzing the extensive project pipeline
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3C2,Day 3 - 14:00 - 15:00 - Smart Procurement & Local Manufacturing (Cancelled)
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3C3,Day 3 - 16:00 - 17:00 - IOT & Drones Logistics Technologies in  Construction
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3D1,Day 4 - 12:00 - 13:00 - Supply-chain management in construction industry 
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3D2,Day 4 - 14:00 - 15:00 - Procurement transformation strategies
Workshop: Theater 3 - EMPHASIS ON SAFETY AND LOGISTICS,T3D3,Day 4 - 16:00 - 17:00 - Logistics planning of construction projects for Expo 2020
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4A1,Day 1 - 12:00 - 13:00 Zero Carbon Buildings: Management of Design and Construction 
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4A2,Day 1 - 14:00 - 15:00 Importance of Reserve Fund Studies in Protecting Property Value
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4A3,Day 1 - 16:00 - 17:00 Importance of energy audits and energy reduction strategies 
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4B1,Day 2 - 12:00 - 13:00 Leapfrogging the residential new construction industry in the GCC to a sustainable future
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4B2,"Day 2 - 14:00 - 15:00 
Indoor Environmental Quality (IEQ) Strategies for LEED v4"
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4B3,Day 2 - 16:00 - 17:00 Energy and Atmosphere Strategies for LEED v4 
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4C1,Day 3 - 12:00 - 13:00 Sustainability Vs. Life Riddles
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4C2,Day 3 - 14:00 - 15:00  Evaluating the impact and application of sustainable development in the GCC
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4C3,Day 3 - 16:00 - 17:00  Layering the Future
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4D1,"Day 4 - 12:00 - 13:00 
Business Opportunities and growth areas in the Construction Industry in today’s New Normal"
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4D2,Day 4 - 14:00 - 15:00 Regional Technical Solutions for LEED 
Workshop: Theater 4 - SUSTAINABILITY IS THE FUTURE,T4D3,Day 4 - 16:00 - 17:00 Tools for sustainable development at district level
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5A1,Day 1 - 12:00 - 13:00 Keys to resolving the inevitable construction dispute
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5A2,"Day 1 - 14:00 - 15:00 
Construction Quality Management "
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5A3,Day 1 - 16:00 - 17:00 How to import and export from the U.K & Europe 
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5B1,Day 2 - 12:00 - 13:00 Sustainability for C-level Executives
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5B2,Day 2 - 14:00 - 15:00 Labor and employment issues
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5B3,Day 2 - 16:00 - 17:00 Establishing a Difference that can be preserved
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5C1,Day 3 -  12:00 - 13:00 Social media in the construction field
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5C2,Day 3 - 14:00 - 15:00 Recognizing PPP as a driver for sustainable infrastructure industry
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5C3,Day 3 - 16:00 - 17:00 How to use licensing to sell your products 
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5D1,Day 4 - 12:00 - 13:00 Effective Marketing strategies in the Construction Industry
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5D2,Day 4 - 14:00 - 15:00 Finance for non finance managers
Workshop: Theater 5 - BUSINESS STRATEGIES & MARKETING STRATEGIES,T5D3,Day 4 - 16:00 - 17:00 Future of Retail Design and Trends
Workshop: Theater 6 - PROJECT MANAGEMENT,T6A1,Day 1 - 12:00 - 13:00 Implementation Practical Risk Management for Mega Construction Projects : Project Management
Workshop: Theater 6 - PROJECT MANAGEMENT,T6A2,Day 1 - 14:00 - 15:00 Sidestep Complexity 
Workshop: Theater 6 - PROJECT MANAGEMENT,T6A3,Day 1 - 16:00 - 17:00 How to make PMOs critical to Business: The Business PMO 
Workshop: Theater 6 - PROJECT MANAGEMENT,T6B1,Day 2 - 12:00 - 13:00 Is every request from business a project? 
Workshop: Theater 6 - PROJECT MANAGEMENT,T6B2,Day 2 - 14:00 - 15:00 BIM Between Theory and Practice
