Country of Residence ,Region,Region 2
Philippines,South-Eastern Asia,AustraliaAsia
Pitcairn Islands,Australasia,AustraliaAsia
Poland,Eastern Europe,Europe
Portugal,Southern Europe,Europe
Puerto Rico,Central America,Americas
Qatar,MiddleEast-GCC,MEGCC
Reunion,Eastern Africa,Africa
Romania,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Rwanda,Eastern Africa,Africa
Saint Barthélemy,Central America,Americas
Saint Helena,Southern Africa,Africa
Saint Kitts & Nevis,Central America,Americas
Saint Lucia,Central America,Americas
Saint Martin (France),Western Europe,Europe
Saint Martin (Netherlands),Western Europe,Europe
Saint Pierre & Miquelon,Northern America,Americas
Saint Vincent and Grenadines,Central America,Americas
Samoa,Australasia,AustraliaAsia
San Marino,Southern Europe,Europe
Sao Tome and Príncipe,Middle Africa,Africa
Saudi Arabia,MiddleEast-GCC,MEGCC
Senegal,Western Africa,Africa
Serbia,Southern Europe,Europe
Seychelles,Eastern Africa,Africa
Sierra Leone,Western Africa,Africa
Singapore,South-Eastern Asia,AustraliaAsia
Slovakia,Eastern Europe,Europe
Slovenia,Southern Europe,Europe
Solomon Islands,Australasia,AustraliaAsia
Somalia,Eastern Africa,Africa
South Africa,Southern Africa,Africa
South Georgia and the South Sandwich Islands,South America,Americas
South Sudan,Eastern Africa,Africa
Spain,Southern Europe,Europe
Sri Lanka,Southern Asia,AustraliaAsia
Sudan,Eastern Africa,Africa
Suriname,South America,Americas
Svalbard and Jan Mayen Islands,Northern Europe,Europe
Swaziland,Southern Africa,Africa
Sweden,Northern Europe,Europe
Switzerland,Western Europe,Europe
Syria,MiddleEast-NonGCC,MENonGCC
Taiwan,Eastern Asia,AustraliaAsia
Tajikistan,Central Asia,AustraliaAsia
Tanzania,Eastern Africa,Africa
Thailand,South-Eastern Asia,AustraliaAsia
Timor-Leste,South-Eastern Asia,AustraliaAsia
Togo,Western Africa,Africa
Tokelau,Australasia,AustraliaAsia
Tonga,Australasia,AustraliaAsia
Trinidad & Tobago,Central America,Americas
Tunisia,Northern Africa,Africa
Turkey,MiddleEast-NonGCC,MENonGCC
Turkmenistan,Central Asia,AustraliaAsia
Turks and Caicos Islands,Central America,Americas
Tuvalu,Australasia,AustraliaAsia
Uganda,Eastern Africa,Africa
Ukraine,Eastern Europe,Europe
Union of the Comoros,Eastern Africa,Africa
United Kingdom,Northern Europe,Europe
United States Minor Outlying Islands,Northern America,Americas
United States of America,Northern America,Americas
Uruguay,South America,Americas
Uzbekistan,Central Asia,AustraliaAsia
Vanuatu,Australasia,AustraliaAsia
Vatican City,Southern Europe,Europe
Venezuela,South America,Americas
Vietnam,South-Eastern Asia,AustraliaAsia
Virgin Islands (British),South America,Americas
Virgin Islands (U.S.),Central America,Americas
Wallis & Futuna,Australasia,AustraliaAsia
Yemen,MiddleEast-NonGCC,MENonGCC
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
