Questions,Code,Decode,,Decode,usage
Are you interested in finding out more information about exhibiting?  - MEC,MP131,moreInfoExhibit.Yes,moreInfoExhibit.Yes,moreInfoExhibit.YesmoreInfoExhibit.Yes,Demographic
Are you interested in finding out more information about exhibiting?  - MEC,MP132,dummyvar,,dummyvar,Demographic
Are you interested in finding out more information about exhibiting? - Big5,BF131,moreInfoExhibit.Yes,moreInfoExhibit.Yes,moreInfoExhibit.YesmoreInfoExhibit.Yes,Demographic
Are you interested in finding out more information about exhibiting? - Big5,BF132,dummyvar,,dummyvar,Demographic
Are you interested in other construction events? - Big5,BF141,interestOtherEvent.Yes,interestOtherEvent.Yes,interestOtherEvent.YesinterestOtherEvent.Yes,Demographic
DTCM Codes,DTCM,Date Transacted to DTCM,,Date Transacted to DTCM,Not Used
DTCM Codes,DTCM-NOT,Transacted to DTCM but rejected,,Transacted to DTCM but rejected,Not Used
DTCM Codes,ORDERID,DTCM Order ID,,DTCM Order ID,Not Used
DTCM Codes,DTCMS,DTCM Successful,,DTCM Successful,Not Used
DTCM Codes,DTCMN,DTCM Not Successful,,DTCM Not Successful,Not Used
DTCM Codes,NOSHOW,No Show record - DTCM Recall,,No Show record - DTCM Recall,Not Used
DTCM Codes,ORDERID2,DTCM Second Order id,,DTCM Second Order id,Not Used
DTCM Codes,DRETURN,Record Returned,,Record Returned,Not Used
DTCM Codes,JAY,"Records to be re-called, transacted to DTCM",,"Records to be re-called, transacted to DTCM",Not Used
DTCM Codes,UPDORD,Updated Ordeid,,Updated Ordeid,Not Used
Are you interested in other construction events? - Big5,BF142,dummyvar,,dummyvar,Demographic
Are you interested in other construction events? - MEC,MP141,interestOtherEvent.Yes,interestOtherEvent.Yes,interestOtherEvent.YesinterestOtherEvent.Yes,Demographic
Are you interested in other construction events? - MEC,MP142,dummyvar,,dummyvar,Demographic
Are you interested in other construction events? - Yes -  Big5,BF151,dummyvar,,dummyvar,Demographic
Email Broadcast,EMAIL1,Barcode Email,,Barcode Email,Not Used
Email Broadcast,ESAMPLE,Sample Eshot,,Sample Eshot,Not Used
Email Broadcast,EMAIL2,Email Blast for Distributors,,Email Blast for Distributors,Not Used
Attendees,ATTD1,Attended On Day 1,,Attended On Day 1,Not Used
Attendees,ATTD2,Attended On Day 2,,Attended On Day 2,Not Used
Attendees,ATTD3,Attended On Day 3,,Attended On Day 3,Not Used
Attendees,ATTD4,Attended on Day 4,,Attended on Day 4,Not Used
Are you interested in other construction events? - Yes -  Big5,BF167,The Big 5 Kuwait (Onsite Form),dummyFMExpoSaudi.interested.to.,The Big 5 Kuwait (Onsite Form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF168,The Big 5 East Africa Kenya (Onsite Form),dummyFMExpoSaudi.interested.to.,The Big 5 East Africa Kenya (Onsite Form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF169,The Big 5 Indonesia (Onsite Form),dummyFMExpoSaudi.interested.to.,The Big 5 Indonesia (Onsite Form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF170,The Big 5 India (Onsite Forms),dummyFMExpoSaudi.interested.to.,The Big 5 India (Onsite Forms)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF174,None of the above (Onsite Form),dummyFMExpoSaudi.interested.to.,None of the above (Onsite Form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF152,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017,dummyFMExpoSaudi.interested.to.,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF153,The Big 5 Saudi (Jeddah) | 27 - 30 March 2017,dummyFMExpoSaudi.interested.to.,The Big 5 Saudi (Jeddah) | 27 - 30 March 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF154,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017",dummyFMExpoSaudi.interested.to.,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017dummyFMExpoSaudi.interested.to.",Demographic
Are you interested in other construction events? - Yes -  Big5,BF155,The Big 5 North Africa (Casablanca) | 25 - 27 April 2017,dummyFMExpoSaudi.interested.to.,The Big 5 North Africa (Casablanca) | 25 - 27 April 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF156,Middle East Covering (Dubai) | 22 - 25 May 2017,dummyFMExpoSaudi.interested.to.,Middle East Covering (Dubai) | 22 - 25 May 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF157,Middle East Stone (Dubai) |  22 - 25 May 2017,dummyFMExpoSaudi.interested.to.,Middle East Stone (Dubai) |  22 - 25 May 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF158,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF159,Elevators & Access Control (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Elevators & Access Control (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF160,FM EXPO (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,FM EXPO (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF161,Gulf Glass (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Gulf Glass (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF162,Intersolar Middle East (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Intersolar Middle East (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF163,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF164,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes -  Big5,BF165,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017",dummyFMExpoSaudi.interested.to.,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.",Demographic
Are you interested in other construction events? - Yes -  Big5,BF166,The Big 5 (Dubai) | 26 - 29 November 2017,dummyFMExpoSaudi.interested.to.,The Big 5 (Dubai) | 26 - 29 November 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP176,The Big 5 Kuwait (Onsite form),dummyFMExpoSaudi.interested.to.,The Big 5 Kuwait (Onsite form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP177,The Big 5 East Africa Kenya (Onsite form),dummyFMExpoSaudi.interested.to.,The Big 5 East Africa Kenya (Onsite form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP169,The Big 5 Indonesia (Onsite Form),dummyFMExpoSaudi.interested.to.,The Big 5 Indonesia (Onsite Form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP170,The Big 5 India (Onsite Form),dummyFMExpoSaudi.interested.to.,The Big 5 India (Onsite Form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP175,Middle East Coating Show (onsite form),dummyFMExpoSaudi.interested.to.,Middle East Coating Show (onsite form)dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP167,The Big 5 (Dubai) | 21-24 November 2016,dummyFMExpoSaudi.interested.to.,The Big 5 (Dubai) | 21-24 November 2016dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP151,dummyvar,,dummyvar,Demographic
Are you interested in other construction events? - Yes - MEC,MP152,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017,dummyFMExpoSaudi.interested.to.,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP153,The Big 5 Saudi (Jeddah) | 27-30 March 2017,dummyFMExpoSaudi.interested.to.,The Big 5 Saudi (Jeddah) | 27-30 March 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP168,Africa Renewable Energy Summit | 4 – 5 April 2017,dummyFMExpoSaudi.interested.to.,Africa Renewable Energy Summit | 4 – 5 April 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP154,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017 ",dummyFMExpoSaudi.interested.to.,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017 dummyFMExpoSaudi.interested.to.",Demographic
Are you interested in other construction events? - Yes - MEC,MP155,The Big 5 North Africa (Casablanca) | 25- 27 April 2017,dummyFMExpoSaudi.interested.to.,The Big 5 North Africa (Casablanca) | 25- 27 April 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP166,The Big 5 (Dubai) | 26-29 November 2017,dummyFMExpoSaudi.interested.to.,The Big 5 (Dubai) | 26-29 November 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP156,Middle East Covering (Dubai)| 22-25 May 2017,dummyFMExpoSaudi.interested.to.,Middle East Covering (Dubai)| 22-25 May 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP157,Middle East Stone (Dubai) | 22-25 May 2017,dummyFMExpoSaudi.interested.to.,Middle East Stone (Dubai) | 22-25 May 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP158,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP159,Elevators & Access Control (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Elevators & Access Control (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP160,FM EXPO (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,FM EXPO (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP161,Gulf Glass (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Gulf Glass (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP162,Intersolar Middle East (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Intersolar Middle East (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP163,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP164,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017,dummyFMExpoSaudi.interested.to.,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.,Demographic
Are you interested in other construction events? - Yes - MEC,MP165,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017",dummyFMExpoSaudi.interested.to.,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017dummyFMExpoSaudi.interested.to.",Demographic
Category,VIP,dummyvar,,dummyvar,Demographic
Category,GVIP,dummyvar,,dummyvar,Demographic
Category,GVIS,dummyvar,,dummyvar,Demographic
Category,GUEST,dummyvar,,dummyvar,Demographic
Category,VIS,dummyvar,,dummyvar,Demographic
Category,DEL,dummyvar,,dummyvar,Demographic
Category,SPK,dummyvar,,dummyvar,Demographic
Category,MED,dummyvar,,dummyvar,Demographic
Category,EXH,dummyvar,,dummyvar,Demographic
Category,EXHONS,dummyvar,,dummyvar,Demographic
Category,ORG,dummyvar,,dummyvar,Demographic
Category,STU,dummyvar,,dummyvar,Demographic
Category,NTRAD,dummyvar,,dummyvar,Demographic
Category,XXX,dummyvar,,dummyvar,Demographic
Category,PC,dummyvar,,dummyvar,Demographic
Countries you import to? - Big5,BF71A,dummyvar,,dummyvar,Demographic
Countries you import to? - Big5,BF71B,KSA,dummyUAE.import.to,KSAdummyUAE.import.to,Demographic
Countries you import to? - Big5,BF71C,Kuwait,dummyUAE.import.to,KuwaitdummyUAE.import.to,Demographic
Countries you import to? - Big5,BF71D,Oman,dummyUAE.import.to,OmandummyUAE.import.to,Demographic
Countries you import to? - Big5,BF71E,Bahrain,dummyUAE.import.to,BahraindummyUAE.import.to,Demographic
Countries you import to? - Big5,BF71F,Qatar,dummyUAE.import.to,QatardummyUAE.import.to,Demographic
Direct level of purchasing authority - Big5,BF91,dummyvar,,dummyvar,Demographic
Direct level of purchasing authority - Big5,BF92,"Up to $100,000",dummy50K.budget.,"Up to $100,000dummy50K.budget.",Demographic
Direct level of purchasing authority - Big5,BF93,"Up to $250,000",dummy50K.budget.,"Up to $250,000dummy50K.budget.",Demographic
Direct level of purchasing authority - Big5,BF94,"Up to $500,000",dummy50K.budget.,"Up to $500,000dummy50K.budget.",Demographic
Direct level of purchasing authority - Big5,BF95,"Up to $1,000,000",dummy50K.budget.,"Up to $1,000,000dummy50K.budget.",Demographic
Direct level of purchasing authority - Big5,BF96,"Up to $5,000,000",dummy50K.budget.,"Up to $5,000,000dummy50K.budget.",Demographic
Direct level of purchasing authority - Big5,BF97,"Up to $10,000,000",dummy50K.budget.,"Up to $10,000,000dummy50K.budget.",Demographic
Direct level of purchasing authority - Big5,BF98,Up to $25 million,dummy50K.budget.,Up to $25 milliondummy50K.budget.,Demographic
Direct level of purchasing authority - Big5,BF99,Up to $50 million,dummy50K.budget.,Up to $50 milliondummy50K.budget.,Demographic
Direct level of purchasing authority - Big5,BF100,Up to $100 million,dummy50K.budget.,Up to $100 milliondummy50K.budget.,Demographic
Direct level of purchasing authority - Big5,BF101,100 million +,dummy50K.budget.,100 million +dummy50K.budget.,Demographic
Direct level of purchasing authority - Big5,BF102,Don't Know,dummy50K.budget.,Don't Knowdummy50K.budget.,Demographic
Direct level of purchasing authority - Big5,BF103,Other,dummy50K.budget.,Otherdummy50K.budget.,Demographic
Direct level of purchasing authority - Big5,BF104,None,dummy50K.budget.,Nonedummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP91,dummyvar,,dummyvar,Demographic
Direct level of purchasing authority - MEC,MP92,"Up to $100,000",dummy50K.budget.,"Up to $100,000dummy50K.budget.",Demographic
Direct level of purchasing authority - MEC,MP93,"Up to $250,000",dummy50K.budget.,"Up to $250,000dummy50K.budget.",Demographic
Direct level of purchasing authority - MEC,MP94,"Up to $500,000",dummy50K.budget.,"Up to $500,000dummy50K.budget.",Demographic
Direct level of purchasing authority - MEC,MP95,"Up to $1,000,000",dummy50K.budget.,"Up to $1,000,000dummy50K.budget.",Demographic
Direct level of purchasing authority - MEC,MP96,"Up to $5,000,000",dummy50K.budget.,"Up to $5,000,000dummy50K.budget.",Demographic
Direct level of purchasing authority - MEC,MP97,"Up to $10,000,000",dummy50K.budget.,"Up to $10,000,000dummy50K.budget.",Demographic
Direct level of purchasing authority - MEC,MP98,Up to $25 million,dummy50K.budget.,Up to $25 milliondummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP99,Up to $50 million,dummy50K.budget.,Up to $50 milliondummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP100,Up to $100 million,dummy50K.budget.,Up to $100 milliondummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP101,100 million +,dummy50K.budget.,100 million +dummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP102,Don't Know,dummy50K.budget.,Don't Knowdummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP103,Other,dummy50K.budget.,Otherdummy50K.budget.,Demographic
Direct level of purchasing authority - MEC,MP104,None,dummy50K.budget.,Nonedummy50K.budget.,Demographic
Distributor Networking : From which product sectors are you looking to export products,D07,dummyvar,,dummyvar,Demographic
Distributor Networking : From which product sectors are you looking to export products,D08,Construction tools & building materials,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Construction tools & building materialsdummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to export products,D09,Building envelope & special construction,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Building envelope & special constructiondummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to export products,D10,Building interiors & finishes,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Building interiors & finishesdummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to export products,D11,MEP services,dummySmartbuildingdesigntechnologies.lookingtoExportto.,MEP servicesdummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D12,Smart building & design technologies,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Smart building & design technologiesdummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D13,Construction tools & building materials ,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Construction tools & building materials dummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D14,Building envelope & special construction,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Building envelope & special constructiondummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D15,Building interiors & finishes ,dummySmartbuildingdesigntechnologies.lookingtoExportto.,Building interiors & finishes dummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D16,MEP services ,dummySmartbuildingdesigntechnologies.lookingtoExportto.,MEP services dummySmartbuildingdesigntechnologies.lookingtoExportto.,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D01,dummyvar,,dummyvar,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D02,Oman,dummySaudi.findingdistributorin.,OmandummySaudi.findingdistributorin.,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D03,Bahrain,dummySaudi.findingdistributorin.,BahraindummySaudi.findingdistributorin.,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D04,dummyvar,dummySaudi.findingdistributorin.,dummyvardummySaudi.findingdistributorin.,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D05,Kuwait,dummySaudi.findingdistributorin.,KuwaitdummySaudi.findingdistributorin.,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D06,Qatar,dummySaudi.findingdistributorin.,QatardummySaudi.findingdistributorin.,Demographic
Distributor Networking : Sessions,DS1A,dummyvar,,dummyvar,Demographic
Distributor Networking : Sessions,DS1B,dummyvar,,dummyvar,Demographic
Distributor Networking : Sessions,DS1C,dummyvar,,dummyvar,Demographic
Distributor Networking : Sessions,DS2A,dummyvar,,dummyvar,Demographic
Distributor Networking : Sessions,DS2B,dummyvar,,dummyvar,Demographic
Distributor Networking : Sessions,DS2C,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP1,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP2,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP3,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP4,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP5,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP6,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP7,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP8,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP9,dummyvar,,dummyvar,Demographic
GAIA Awards Products,GAP10,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS01,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS02,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS03,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS04,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS05,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS06,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS07,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS08,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS09,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS10,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS11,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS12,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS13,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS14,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS15,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS16,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS22,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS17,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS18,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS19,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS20,dummyvar,,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS21,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA1,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA2,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA3,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA4,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA5,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA6,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA7,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA8,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA9,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA10,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA11,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA12,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA13,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA14,dummyvar,,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA15,dummyvar,,dummyvar,Demographic
