Questions,Code,Decode,usage
Direct level of purchasing authority - Big5,BF103,dummy50K.budget.Other,Demographic
Direct level of purchasing authority - Big5,BF104,dummy50K.budget.None,Demographic
Direct level of purchasing authority - MEC,MP91,dummyvar,Demographic
Direct level of purchasing authority - MEC,MP92,"dummy50K.budget.Up to $100,000",Demographic
Direct level of purchasing authority - MEC,MP93,"dummy50K.budget.Up to $250,000",Demographic
Direct level of purchasing authority - MEC,MP94,"dummy50K.budget.Up to $500,000",Demographic
Direct level of purchasing authority - MEC,MP95,"dummy50K.budget.Up to $1,000,000",Demographic
Direct level of purchasing authority - MEC,MP96,"dummy50K.budget.Up to $5,000,000",Demographic
Direct level of purchasing authority - MEC,MP97,"dummy50K.budget.Up to $10,000,000",Demographic
Direct level of purchasing authority - MEC,MP98,dummy50K.budget.Up to $25 million,Demographic
Direct level of purchasing authority - MEC,MP99,dummy50K.budget.Up to $50 million,Demographic
Direct level of purchasing authority - MEC,MP100,dummy50K.budget.Up to $100 million,Demographic
Direct level of purchasing authority - MEC,MP101,dummy50K.budget.100 million +,Demographic
Direct level of purchasing authority - MEC,MP102,dummy50K.budget.Don't Know,Demographic
Direct level of purchasing authority - MEC,MP103,dummy50K.budget.Other,Demographic
Direct level of purchasing authority - MEC,MP104,dummy50K.budget.None,Demographic
Distributor Networking : From which product sectors are you looking to export products,D07,dummyvar,Demographic
Distributor Networking : From which product sectors are you looking to export products,D08,dummySmartbuildingdesigntechnologies.lookingtoExportto.Construction tools & building materials,Demographic
Distributor Networking : From which product sectors are you looking to export products,D09,dummySmartbuildingdesigntechnologies.lookingtoExportto.Building envelope & special construction,Demographic
Distributor Networking : From which product sectors are you looking to export products,D10,dummySmartbuildingdesigntechnologies.lookingtoExportto.Building interiors & finishes,Demographic
Distributor Networking : From which product sectors are you looking to export products,D11,dummySmartbuildingdesigntechnologies.lookingtoExportto.MEP services,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D12,dummySmartbuildingdesigntechnologies.lookingtoExportto.Smart building & design technologies,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D13,dummySmartbuildingdesigntechnologies.lookingtoExportto.Construction tools & building materials ,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D14,dummySmartbuildingdesigntechnologies.lookingtoExportto.Building envelope & special construction,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D15,dummySmartbuildingdesigntechnologies.lookingtoExportto.Building interiors & finishes ,Demographic
Distributor Networking : From which product sectors are you looking to import products ,D16,dummySmartbuildingdesigntechnologies.lookingtoExportto.MEP services ,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D01,dummyvar,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D02,dummySaudi.findingdistributorin.Oman,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D03,dummySaudi.findingdistributorin.Bahrain,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D04,dummySaudi.findingdistributorin.dummyvar,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D05,dummySaudi.findingdistributorin.Kuwait,Demographic
Distributor Networking : Please select which countries you are interested in finding a distributor ,D06,dummySaudi.findingdistributorin.Qatar,Demographic
Distributor Networking : Sessions,DS1A,dummyvar,Demographic
Distributor Networking : Sessions,DS1B,dummyvar,Demographic
Distributor Networking : Sessions,DS1C,dummyvar,Demographic
Distributor Networking : Sessions,DS2A,dummyvar,Demographic
Distributor Networking : Sessions,DS2B,dummyvar,Demographic
Distributor Networking : Sessions,DS2C,dummyvar,Demographic
GAIA Awards Products,GAP1,dummyvar,Demographic
GAIA Awards Products,GAP2,dummyvar,Demographic
GAIA Awards Products,GAP3,dummyvar,Demographic
GAIA Awards Products,GAP4,dummyvar,Demographic
GAIA Awards Products,GAP5,dummyvar,Demographic
GAIA Awards Products,GAP6,dummyvar,Demographic
GAIA Awards Products,GAP7,dummyvar,Demographic
GAIA Awards Products,GAP8,dummyvar,Demographic
GAIA Awards Products,GAP9,dummyvar,Demographic
GAIA Awards Products,GAP10,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS01,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS02,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS03,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS04,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS05,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS06,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS07,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS08,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS09,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS10,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS11,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS12,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS13,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS14,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS15,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS16,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS22,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS17,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS18,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS19,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS20,dummyvar,Demographic
MEC Seminar - Let's Get Technical Seminar ,TS21,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA1,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA2,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA3,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA4,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA5,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA6,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA7,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA8,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA9,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA10,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA11,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA12,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA13,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA14,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA15,dummyvar,Demographic
MEC Workshop - Building Block Workshop Theatre,TA16,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB1,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB2,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB3,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB14,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB4,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB5,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB6,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB7,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB8,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB9,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB10,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB15,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB11,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB12,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB13,dummyvar,Demographic
MEC Workshop - Tools of the Trade Workshop Theater ,TB16,dummyvar,Demographic
Nationality,AF,dummyvar,Demographic
Nationality,AL,dummyvar,Demographic
Nationality,DZ,dummyvar,Demographic
Nationality,US,dummyvar,Demographic
Nationality,UM,dummyvar,Demographic
Nationality,AS,dummyvar,Demographic
Nationality,AD,dummyvar,Demographic
Nationality,AO,dummyvar,Demographic
Nationality,AI,dummyvar,Demographic
Nationality,AG,dummyvar,Demographic
Nationality,AR,dummyvar,Demographic
Nationality,AM,dummyvar,Demographic
Nationality,AW,dummyvar,Demographic
Nationality,AU,dummyvar,Demographic
Nationality,AT,dummyvar,Demographic
Nationality,AZ,dummyvar,Demographic
Nationality,BS,dummyvar,Demographic
Nationality,BH,dummyvar,Demographic
Nationality,BD,dummyvar,Demographic
Nationality,BB,dummyvar,Demographic
Nationality,BW,dummyvar,Demographic
Nationality,BY,dummyvar,Demographic
Nationality,BE,dummyvar,Demographic
Nationality,BZ,dummyvar,Demographic
Nationality,BJ,dummyvar,Demographic
Nationality,BM,dummyvar,Demographic
Nationality,BT,dummyvar,Demographic
Nationality,GW,dummyvar,Demographic
Nationality,BO,dummyvar,Demographic
Nationality,BA,dummyvar,Demographic
Nationality,BR,dummyvar,Demographic
Nationality,GB,dummyvar,Demographic
Nationality,BN,dummyvar,Demographic
Nationality,BG,dummyvar,Demographic
Nationality,BF,dummyvar,Demographic
Nationality,MM,dummyvar,Demographic
Nationality,BI,dummyvar,Demographic
Nationality,KH,dummyvar,Demographic
Nationality,CM,dummyvar,Demographic
Nationality,CA,dummyvar,Demographic
Nationality,CV,dummyvar,Demographic
Nationality,KY,dummyvar,Demographic
Nationality,CF,dummyvar,Demographic
Nationality,TD,dummyvar,Demographic
Nationality,GG,dummyvar,Demographic
Nationality,JE,dummyvar,Demographic
Nationality,CL,dummyvar,Demographic
Nationality,CN,dummyvar,Demographic
Nationality,CX,dummyvar,Demographic
Nationality,CO,dummyvar,Demographic
Nationality,KM,dummyvar,Demographic
Nationality,CG,dummyvar,Demographic
Nationality,CD,dummyvar,Demographic
Nationality,CK,dummyvar,Demographic
Nationality,CR,dummyvar,Demographic
Nationality,HR,dummyvar,Demographic
Nationality,CU,dummyvar,Demographic
Nationality,CY,dummyvar,Demographic
Nationality,CZ,dummyvar,Demographic
Nationality,DK,dummyvar,Demographic
Nationality,DJ,dummyvar,Demographic
Nationality,DM,dummyvar,Demographic
Nationality,DO,dummyvar,Demographic
Nationality,NL,dummyvar,Demographic
Nationality,AN,dummyvar,Demographic
Nationality,EC,dummyvar,Demographic
Nationality,EG,dummyvar,Demographic
Nationality,AE,dummyvar,Demographic
Nationality,GQ,dummyvar,Demographic
Nationality,ER,dummyvar,Demographic
Nationality,EE,dummyvar,Demographic
Nationality,ET,dummyvar,Demographic
Nationality,FK,dummyvar,Demographic
Nationality,FO,dummyvar,Demographic
Nationality,FJ,dummyvar,Demographic
Nationality,FI,dummyvar,Demographic
Nationality,FR,dummyvar,Demographic
Nationality,TF,dummyvar,Demographic
Nationality,MQ,dummyvar,Demographic
Nationality,RE,dummyvar,Demographic
Nationality,GF,dummyvar,Demographic
Nationality,GA,dummyvar,Demographic
Nationality,GM,dummyvar,Demographic
Nationality,GE,dummyvar,Demographic
Nationality,DE,dummyvar,Demographic
Nationality,GH,dummyvar,Demographic
Nationality,GI,dummyvar,Demographic
Nationality,GR,dummyvar,Demographic
Nationality,GL,dummyvar,Demographic
Nationality,GD,dummyvar,Demographic
Nationality,GU,dummyvar,Demographic
Nationality,GT,dummyvar,Demographic
Nationality,GN,dummyvar,Demographic
Nationality,GY,dummyvar,Demographic
Nationality,HT,dummyvar,Demographic
Nationality,HN,dummyvar,Demographic
Nationality,HK,dummyvar,Demographic
Nationality,HU,dummyvar,Demographic
Nationality,IS,dummyvar,Demographic
Nationality,KI,dummyvar,Demographic
Nationality,IN,dummyvar,Demographic
Nationality,ID,dummyvar,Demographic
Nationality,IR,dummyvar,Demographic
Nationality,IQ,dummyvar,Demographic
Nationality,IE,dummyvar,Demographic
Nationality,IT,dummyvar,Demographic
Nationality,CI,dummyvar,Demographic
Nationality,JM,dummyvar,Demographic
Nationality,JP,dummyvar,Demographic
Nationality,JO,dummyvar,Demographic
Nationality,KZ,dummyvar,Demographic
Nationality,KE,dummyvar,Demographic
Nationality,KN,dummyvar,Demographic
Nationality,XK,dummyvar,Demographic
Nationality,KW,dummyvar,Demographic
Nationality,KG,dummyvar,Demographic
Nationality,LA,dummyvar,Demographic
Nationality,LV,dummyvar,Demographic
Nationality,LB,dummyvar,Demographic
Nationality,LR,dummyvar,Demographic
Nationality,LY,dummyvar,Demographic
Nationality,LI,dummyvar,Demographic
Nationality,LT,dummyvar,Demographic
Nationality,LU,dummyvar,Demographic
Nationality,MO,dummyvar,Demographic
Nationality,MK,dummyvar,Demographic
Nationality,YT,dummyvar,Demographic
Nationality,MG,dummyvar,Demographic
Nationality,MW,dummyvar,Demographic
Nationality,MY,dummyvar,Demographic
Nationality,MV,dummyvar,Demographic
Nationality,ML,dummyvar,Demographic
Nationality,MT,dummyvar,Demographic
Nationality,IM,dummyvar,Demographic
Nationality,MH,dummyvar,Demographic
Nationality,MR,dummyvar,Demographic
Nationality,MU,dummyvar,Demographic
Nationality,MX,dummyvar,Demographic
Nationality,FM,dummyvar,Demographic
Nationality,MD,dummyvar,Demographic
Nationality,MC,dummyvar,Demographic
Nationality,MN,dummyvar,Demographic
Nationality,ME,dummyvar,Demographic
Nationality,MS,dummyvar,Demographic
Nationality,MA,dummyvar,Demographic
Nationality,LS,dummyvar,Demographic
Nationality,MZ,dummyvar,Demographic
Nationality,NA,dummyvar,Demographic
Nationality,NR,dummyvar,Demographic
Nationality,NP,dummyvar,Demographic
Nationality,NC,dummyvar,Demographic
Nationality,NZ,dummyvar,Demographic
Nationality,NI,dummyvar,Demographic
Nationality,NG,dummyvar,Demographic
Nationality,NE,dummyvar,Demographic
Nationality,NU,dummyvar,Demographic
Nationality,VU,dummyvar,Demographic
Nationality,KP,dummyvar,Demographic
Nationality,NO,dummyvar,Demographic
Nationality,OM,dummyvar,Demographic
Nationality,PK,dummyvar,Demographic
Nationality,PW,dummyvar,Demographic
Nationality,PS,dummyvar,Demographic
Nationality,PA,dummyvar,Demographic
Nationality,PG,dummyvar,Demographic
Nationality,PY,dummyvar,Demographic
Nationality,PE,dummyvar,Demographic
Nationality,PH,dummyvar,Demographic
Nationality,PN,dummyvar,Demographic
Nationality,PL,dummyvar,Demographic
Nationality,PT,dummyvar,Demographic
Nationality,PR,dummyvar,Demographic
Nationality,QA,dummyvar,Demographic
Nationality,RO,dummyvar,Demographic
Nationality,RU,dummyvar,Demographic
Nationality,RW,dummyvar,Demographic
Nationality,LC,dummyvar,Demographic
Nationality,PM,dummyvar,Demographic
Nationality,SV,dummyvar,Demographic
Subscribe to - Big 5 (Onsite Form) ,BF301,The Big 5 Hub industry weekly newsletter,Not Used
Subscribe to - Big 5 (Onsite Form) ,BF302,The Big 5 Hub quarterly magazine,Not Used
Nationality,SM,dummyvar,Demographic
Nationality,WS,dummyvar,Demographic
Nationality,ST,dummyvar,Demographic
Nationality,SA,dummyvar,Demographic
Nationality,SN,dummyvar,Demographic
Nationality,RS,dummyvar,Demographic
Nationality,SC,dummyvar,Demographic
Nationality,SL,dummyvar,Demographic
Nationality,SG,dummyvar,Demographic
